dataset_record_id,adjudication_review_order,severity,scope_type,category,repo_key,finding_statement,material_index,review_label,review_confidence,review_harm_relevance,reviewer_id,rationale_short,rationale_detailed,disconfirming_evidence,additional_evidence_needed,notes
TPFPV1-0097,1,high,repo-file,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/ComposioHQ__awesome-claude-skills,Broad external-action surface without approval model,materials/TPFPV1-0097/material-index.json,TP,high,high,reviewer3-codex,The artifact operationally exposes Customer.io broadcast triggering and related account operations without a clear per-action approval step once the skill is in use.,"This file is not a mere mention of the capability; it lays out an operational workflow for Customer.io broadcast triggering and related account operations. It includes a direct broadcast-trigger action against a live messaging platform and presents it as part of the normal workflow once the account is connected. The surrounding text reads like agent instructions rather than a neutral warning or hypothetical example, so the action surface is materially present in the artifact. Because the action reaches external systems, accounts, or cloud services, the trust boundary expands in a way that matters for security review. Authentication to Customer.io is present, but that is an access prerequisite rather than a per-action approval gate.","This would be weaker if the file required an explicit user confirmation immediately before each outbound action, or if it were clearly limited to descriptive/reference-only prose rather than execution guidance.",A stronger user-visible approval checkpoint before each external write or network side effect would have pushed this toward FP.,
TPFPV1-0197,2,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0197/material-index.json,FP,high,low,reviewer3-codex,"The file uses a security-review persona and domain checklist, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration.","The detector seems to be reacting to a security-review persona and domain checklist rather than a real config or identity takeover. On full reading, the artifact is a domain-specific security or coding guide, not a workflow that edits the agent's standing persona for future sessions. I do not see imperative steps that rewrite the agent role in a persistent config file or inject a new default identity into later runs. Because the persistence element is missing, the specific finding statement is not supported.","This would move toward TP if the file actually wrote to persistent agent config, memory, system-prompt, or profile files in a way that changed later sessions.",Concrete config-write instructions tied to future-session behavior would be needed to support the claim.,
TPFPV1-0090,3,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,Broad external-action surface without approval model,materials/TPFPV1-0090/material-index.json,FP,high,low,reviewer3-codex,"The matched action verbs appear in research-before-coding guidance that tells the agent to look for existing tools before implementing, not in an unconstrained external-action workflow.","On full reading, this artifact is better understood as research-before-coding guidance that tells the agent to look for existing tools before implementing. That means the detector is keying off capability words and examples rather than a real always-on instruction to perform broad external actions. In several places the file is either descriptive, scoped to setup/reference usage, or explicitly mediated by approval/permission language. I do not see evidence that invoking the artifact necessarily causes the agent to act on external systems without meaningful user mediation.",This would move toward TP if the file switched from descriptive/setup guidance to imperative instructions that automatically perform the remote action or bypass the stated approval checks.,"If there is hidden runtime wiring that auto-executes the described steps, that extra evidence would change the conclusion.",
TPFPV1-0068,4,high,category-root,category4_surface_mentions,,[collection-scale] Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0068/material-index.json,UNCERTAIN,low,high,reviewer3-codex,"The category-root record suggests replicated autonomous write loops, but the packet does not provide enough artifact-specific context to verify a stable canonical instance.","This record is an aggregate claim about replicated autonomous write loops across a cohort rather than a normal file-level artifact. The packet lists detector names, counts, and a few example paths, but it does not provide concrete excerpts from a representative file or enough surrounding text to tell whether the examples are real risks, benign documentation, or detector overfires. The replication math is also odd in places, which further weakens confidence that the category-root record cleanly represents one supported issue instance. Because the evidence is summary-level and heterogeneous, I cannot confidently call it TP or FP from the packet alone.","What almost clears it is that some listed example paths plausibly contain the named pattern, but the packet stops short of showing enough concrete context to verify operational meaning.",A representative excerpt or full-file context from one or more exemplars tied directly to the canonical issue would likely resolve this.,Aggregate category-root record.
TPFPV1-0200,5,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0200/material-index.json,FP,high,low,reviewer3-codex,"The file uses a security-review persona and domain checklist, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration.","The detector seems to be reacting to a security-review persona and domain checklist rather than a real config or identity takeover. On full reading, the artifact is a domain-specific security or coding guide, not a workflow that edits the agent's standing persona for future sessions. I do not see imperative steps that rewrite the agent role in a persistent config file or inject a new default identity into later runs. Because the persistence element is missing, the specific finding statement is not supported.","This would move toward TP if the file actually wrote to persistent agent config, memory, system-prompt, or profile files in a way that changed later sessions.",Concrete config-write instructions tied to future-session behavior would be needed to support the claim.,
TPFPV1-0151,6,high,repo-file,category4_surface_mentions,category4_surface_mentions/wentorai__Research-Claw,Broad external-action surface without approval model,materials/TPFPV1-0151/material-index.json,TP,high,high,reviewer3-codex,"The artifact operationally exposes sending, reading, and managing email over IMAP/SMTP without a clear per-action approval step once the skill is in use.","This file is not a mere mention of the capability; it lays out an operational workflow for sending, reading, and managing email over IMAP/SMTP. The skill gives concrete commands and procedures for searching mailboxes, downloading attachments, and sending outbound email through configured accounts. The surrounding text reads like agent instructions rather than a neutral warning or hypothetical example, so the action surface is materially present in the artifact. Because the action reaches external systems, accounts, or cloud services, the trust boundary expands in a way that matters for security review. The account configuration and directory allowlists narrow where it operates, but they do not introduce a per-message approval step.","This would be weaker if the file required an explicit user confirmation immediately before each outbound action, or if it were clearly limited to descriptive/reference-only prose rather than execution guidance.",A stronger user-visible approval checkpoint before each external write or network side effect would have pushed this toward FP.,
TPFPV1-0095,7,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/microsoft__vscode,Broad external-action surface without approval model,materials/TPFPV1-0095/material-index.json,FP,high,low,reviewer3-codex,"The matched action verbs appear in architecture and SDK-integration documentation that explicitly discusses permission handlers and approval flows, not in an unconstrained external-action workflow.","On full reading, this artifact is better understood as architecture and SDK-integration documentation that explicitly discusses permission handlers and approval flows. That means the detector is keying off capability words and examples rather than a real always-on instruction to perform broad external actions. In several places the file is either descriptive, scoped to setup/reference usage, or explicitly mediated by approval/permission language. I do not see evidence that invoking the artifact necessarily causes the agent to act on external systems without meaningful user mediation. The file even documents interactive permission handling and distinguishes auto-approve mode from normal behavior, which cuts directly against the stated finding.",This would move toward TP if the file switched from descriptive/setup guidance to imperative instructions that automatically perform the remote action or bypass the stated approval checks.,"If there is hidden runtime wiring that auto-executes the described steps, that extra evidence would change the conclusion.",
TPFPV1-0082,8,high,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0082/material-index.json,TP,high,high,reviewer3-codex,"The artifact explicitly instructs the agent to keep fixing issues, committing, pushing, and polling CI/review feedback until the PR is green in a repeated unattended loop rather than stopping after a single bounded action.","The core behavior here is a genuine autonomous loop: the agent is told to keep fixing issues, committing, pushing, and polling CI/review feedback until the PR is green until externally defined stop conditions are met. That is materially different from a normal one-shot workflow because the file authorizes repeated writes, commits, pushes, replies, or similar state-changing actions without pausing for renewed approval. The loop logic and stop conditions are spelled out in imperative terms, so the surface is operational rather than hypothetical. This creates real risk of unwanted churn or external side effects if the automation misclassifies feedback or failures. The loop is bounded by success and helper conditions, but there is no fresh approval requirement before each new commit or push.","This would be weaker if each write action required a fresh user confirmation, or if the file only described a manual checklist rather than an agent-driven repeat-until-done loop.",Per-write confirmation gates or a strictly one-shot workflow would likely clear this finding.,
TPFPV1-0373,9,critical,category-root,category4_surface_mentions,,[collection-scale] Remote Code Execution via eval() and Dynamic Code Injection,materials/TPFPV1-0373/material-index.json,UNCERTAIN,low,high,reviewer3-codex,"The category-root record suggests replicated RCE / dynamic-code-execution patterns, but the packet does not provide enough artifact-specific context to verify a stable canonical instance.","This record is an aggregate claim about replicated RCE / dynamic-code-execution patterns across a cohort rather than a normal file-level artifact. The packet lists detector names, counts, and a few example paths, but it does not provide concrete excerpts from a representative file or enough surrounding text to tell whether the examples are real risks, benign documentation, or detector overfires. The replication math is also odd in places, which further weakens confidence that the category-root record cleanly represents one supported issue instance. Because the evidence is summary-level and heterogeneous, I cannot confidently call it TP or FP from the packet alone.","What almost clears it is that some listed example paths plausibly contain the named pattern, but the packet stops short of showing enough concrete context to verify operational meaning.",A representative excerpt or full-file context from one or more exemplars tied directly to the canonical issue would likely resolve this.,Aggregate category-root record.
TPFPV1-0059,10,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/Significant-Gravitas__AutoGPT,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0059/material-index.json,TP,high,high,reviewer3-codex,"The artifact explicitly instructs the agent to keep making code fixes, committing, pushing, replying, and resolving comments until CI is green and feedback is cleared in a repeated unattended loop rather than stopping after a single bounded action.","The core behavior here is a genuine autonomous loop: the agent is told to keep making code fixes, committing, pushing, replying, and resolving comments until CI is green and feedback is cleared until externally defined stop conditions are met. That is materially different from a normal one-shot workflow because the file authorizes repeated writes, commits, pushes, replies, or similar state-changing actions without pausing for renewed approval. The loop logic and stop conditions are spelled out in imperative terms, so the surface is operational rather than hypothetical. This creates real risk of unwanted churn or external side effects if the automation misclassifies feedback or failures. The workflow is disciplined, but it is still a repeat-until-done automation over write and remote-comment actions.","This would be weaker if each write action required a fresh user confirmation, or if the file only described a manual checklist rather than an agent-driven repeat-until-done loop.",Per-write confirmation gates or a strictly one-shot workflow would likely clear this finding.,
TPFPV1-0199,11,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0199/material-index.json,FP,high,low,reviewer3-codex,"The file uses mobile/security hardening terminology inside a defensive security workflow, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration.","The detector seems to be reacting to mobile/security hardening terminology inside a defensive security workflow rather than a real config or identity takeover. On full reading, the artifact is a domain-specific security or coding guide, not a workflow that edits the agent's standing persona for future sessions. I do not see imperative steps that rewrite the agent role in a persistent config file or inject a new default identity into later runs. Because the persistence element is missing, the specific finding statement is not supported.","This would move toward TP if the file actually wrote to persistent agent config, memory, system-prompt, or profile files in a way that changed later sessions.",Concrete config-write instructions tied to future-session behavior would be needed to support the claim.,
TPFPV1-0121,12,high,repo-file,category4_surface_mentions,category4_surface_mentions/davepoon__buildwithclaude,Broad external-action surface without approval model,materials/TPFPV1-0121/material-index.json,TP,medium,medium,reviewer3-codex,"The artifact operationally exposes creating extraction jobs, monitors, and webhooks against the Xquik/X platform without a clear per-action approval step once the skill is in use.","This file is not a mere mention of the capability; it lays out an operational workflow for creating extraction jobs, monitors, and webhooks against the Xquik/X platform. The skill covers both data retrieval and remote write-side actions such as job creation, monitor setup, and webhook registration on a paid external service. The surrounding text reads like agent instructions rather than a neutral warning or hypothetical example, so the action surface is materially present in the artifact. Because the action reaches external systems, accounts, or cloud services, the trust boundary expands in a way that matters for security review. It does tell the user to estimate cost first for some workflows, which is a useful constraint, but it still lacks a separate approval gate before the external actions run.","This would be weaker if the file required an explicit user confirmation immediately before each outbound action, or if it were clearly limited to descriptive/reference-only prose rather than execution guidance.",A stronger user-visible approval checkpoint before each external write or network side effect would have pushed this toward FP.,
TPFPV1-0123,13,high,repo-file,category4_surface_mentions,category4_surface_mentions/huggingface__skills,Broad external-action surface without approval model,materials/TPFPV1-0123/material-index.json,TP,high,high,reviewer3-codex,The artifact operationally exposes submitting Hugging Face vision training jobs to managed cloud infrastructure without a clear per-action approval step once the skill is in use.,"This file is not a mere mention of the capability; it lays out an operational workflow for submitting Hugging Face vision training jobs to managed cloud infrastructure. The skill explicitly says to create the training script and submit the job immediately via `hf_jobs()` when the user asks to train, which is a real cloud-side action with cost and persistence implications. The surrounding text reads like agent instructions rather than a neutral warning or hypothetical example, so the action surface is materially present in the artifact. Because the action reaches external systems, accounts, or cloud services, the trust boundary expands in a way that matters for security review. There are prerequisite and preference checks, but the file still operationalizes direct job submission rather than requiring a final confirmation.","This would be weaker if the file required an explicit user confirmation immediately before each outbound action, or if it were clearly limited to descriptive/reference-only prose rather than execution guidance.",A stronger user-visible approval checkpoint before each external write or network side effect would have pushed this toward FP.,
TPFPV1-0196,14,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0196/material-index.json,FP,high,low,reviewer3-codex,"The file uses mobile/security hardening terminology inside a defensive security workflow, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration.","The detector seems to be reacting to mobile/security hardening terminology inside a defensive security workflow rather than a real config or identity takeover. On full reading, the artifact is a domain-specific security or coding guide, not a workflow that edits the agent's standing persona for future sessions. I do not see imperative steps that rewrite the agent role in a persistent config file or inject a new default identity into later runs. Because the persistence element is missing, the specific finding statement is not supported.","This would move toward TP if the file actually wrote to persistent agent config, memory, system-prompt, or profile files in a way that changed later sessions.",Concrete config-write instructions tied to future-session behavior would be needed to support the claim.,
TPFPV1-0058,15,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0058/material-index.json,FP,medium,low,reviewer3-codex,"The file describes a research-paper pipeline with iterative phases and a general instruction to commit completed work, but not the kind of persistent unattended write loop claimed by the finding.","The artifact does contain iterative language, but on full reading it is best understood as a research-paper pipeline with iterative phases and a general instruction to commit completed work. I do not see a clear instruction to keep committing, pushing, or otherwise changing state in a self-sustaining loop without renewed oversight. The detector appears to be over-weighting words like 'iterate', 'watch', or 'commit' that are common in ordinary workflows. That makes the operational meaning materially less risky than the finding statement suggests.","This would move toward TP if the file explicitly said to continue making write actions until some external condition cleared, or if it enumerated a repeatable commit/push/retry loop.",A concrete repeated write loop with explicit stop conditions would be the key missing evidence.,
TPFPV1-0192,16,critical,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,Persistent identity rewrite with future-session effect,materials/TPFPV1-0192/material-index.json,TP,high,high,reviewer3-codex,The skill explicitly writes jailbreak configuration into persistent Hermes files so later sessions inherit the modified identity/behavior.,"This is a real persistent rewrite surface, not just aggressive prompting language. The workflow directs the agent to write a winning system prompt into `~/.hermes/config.yaml`, create or update `~/.hermes/prefill.json`, and rely on those files in future sessions. That changes the trust boundary because the altered identity survives the current run and affects later behavior automatically. The undo path confirms the persistence rather than negating it, because it assumes the rewrite already happened.",This would be weaker if the file only showed ephemeral prompts for the current turn or a dry-run-only demonstration with no config writes.,A strictly session-local example with no writes to Hermes config or prefill files would clear it.,
TPFPV1-0074,17,high,repo-file,category4_surface_mentions,category4_surface_mentions/davepoon__buildwithclaude,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0074/material-index.json,TP,medium,high,reviewer3-codex,"The artifact explicitly instructs the agent to keep executing all plans in a phase, including spawning subagents and proceeding through waves unless `--interactive` is chosen in a repeated unattended loop rather than stopping after a single bounded action.","The core behavior here is a genuine autonomous loop: the agent is told to keep executing all plans in a phase, including spawning subagents and proceeding through waves unless `--interactive` is chosen until externally defined stop conditions are met. That is materially different from a normal one-shot workflow because the file authorizes repeated writes, commits, pushes, replies, or similar state-changing actions without pausing for renewed approval. The loop logic and stop conditions are spelled out in imperative terms, so the surface is operational rather than hypothetical. This creates real risk of unwanted churn or external side effects if the automation misclassifies feedback or failures. The presence of an optional interactive mode helps, but the default behavior is still broad autonomous execution across planned tasks.","This would be weaker if each write action required a fresh user confirmation, or if the file only described a manual checklist rather than an agent-driven repeat-until-done loop.",Per-write confirmation gates or a strictly one-shot workflow would likely clear this finding.,
TPFPV1-0094,18,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/anthropics__claude-code,Broad external-action surface without approval model,materials/TPFPV1-0094/material-index.json,FP,high,low,reviewer3-codex,"The matched action verbs appear in MCP integration reference material with configuration examples and security-oriented allowlist advice, not in an unconstrained external-action workflow.","On full reading, this artifact is better understood as MCP integration reference material with configuration examples and security-oriented allowlist advice. That means the detector is keying off capability words and examples rather than a real always-on instruction to perform broad external actions. In several places the file is either descriptive, scoped to setup/reference usage, or explicitly mediated by approval/permission language. I do not see evidence that invoking the artifact necessarily causes the agent to act on external systems without meaningful user mediation.",This would move toward TP if the file switched from descriptive/setup guidance to imperative instructions that automatically perform the remote action or bypass the stated approval checks.,"If there is hidden runtime wiring that auto-executes the described steps, that extra evidence would change the conclusion.",
TPFPV1-0117,19,high,repo-file,category4_surface_mentions,category4_surface_mentions/danielmiessler__Personal_AI_Infrastructure,Broad external-action surface without approval model,materials/TPFPV1-0117/material-index.json,TP,high,high,reviewer3-codex,"The artifact operationally exposes multi-tier web scraping, crawling, and escalation to Bright Data with automatic fallback behavior without a clear per-action approval step once the skill is in use.","This file is not a mere mention of the capability; it lays out an operational workflow for multi-tier web scraping, crawling, and escalation to Bright Data with automatic fallback behavior. The skill mandates an immediate localhost notification curl and then instructs the agent to progress through scraping tiers, including browser automation and Bright Data, to overcome blocking. The surrounding text reads like agent instructions rather than a neutral warning or hypothetical example, so the action surface is materially present in the artifact. Because the action reaches external systems, accounts, or cloud services, the trust boundary expands in a way that matters for security review. It is invoked by user requests for scraping, but the lack of per-action confirmation and the explicit bypass/escalation behavior leave the risky surface intact.","This would be weaker if the file required an explicit user confirmation immediately before each outbound action, or if it were clearly limited to descriptive/reference-only prose rather than execution guidance.",A stronger user-visible approval checkpoint before each external write or network side effect would have pushed this toward FP.,
TPFPV1-0091,20,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,Broad external-action surface without approval model,materials/TPFPV1-0091/material-index.json,TP,high,high,reviewer3-codex,"The artifact operationally exposes scheduled, continuous, and remotely dispatched autonomous agent operations without a clear per-action approval step once the skill is in use.","This file is not a mere mention of the capability; it lays out an operational workflow for scheduled, continuous, and remotely dispatched autonomous agent operations. The file is specifically about turning the agent into a self-directing harness with crons, dispatch, memory, computer use, and recurring review/monitoring workflows. The surrounding text reads like agent instructions rather than a neutral warning or hypothetical example, so the action surface is materially present in the artifact. Because the action reaches external systems, accounts, or cloud services, the trust boundary expands in a way that matters for security review. User intent determines whether to activate the harness, but once activated the artifact normalizes ongoing unattended operation rather than per-action confirmation.","This would be weaker if the file required an explicit user confirmation immediately before each outbound action, or if it were clearly limited to descriptive/reference-only prose rather than execution guidance.",A stronger user-visible approval checkpoint before each external write or network side effect would have pushed this toward FP.,
TPFPV1-0093,21,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/angular__angular,Broad external-action surface without approval model,materials/TPFPV1-0093/material-index.json,FP,high,low,reviewer3-codex,"The matched action verbs appear in PR review instructions that explicitly require user approval before posting remote review comments, not in an unconstrained external-action workflow.","On full reading, this artifact is better understood as PR review instructions that explicitly require user approval before posting remote review comments. That means the detector is keying off capability words and examples rather than a real always-on instruction to perform broad external actions. In several places the file is either descriptive, scoped to setup/reference usage, or explicitly mediated by approval/permission language. I do not see evidence that invoking the artifact necessarily causes the agent to act on external systems without meaningful user mediation. The remote workflow says to prepare comments, present them to the user, and only post after explicit permission, which is a meaningful approval control.",This would move toward TP if the file switched from descriptive/setup guidance to imperative instructions that automatically perform the remote action or bypass the stated approval checks.,"If there is hidden runtime wiring that auto-executes the described steps, that extra evidence would change the conclusion.",
TPFPV1-0332,22,critical,category-root,category4_surface_mentions,,[collection-scale] Agent Memory and Configuration File Tampering,materials/TPFPV1-0332/material-index.json,UNCERTAIN,low,high,reviewer3-codex,"The category-root record suggests replicated memory/config-tampering or skill-compromise surfaces, but the packet does not provide enough artifact-specific context to verify a stable canonical instance.","This record is an aggregate claim about replicated memory/config-tampering or skill-compromise surfaces across a cohort rather than a normal file-level artifact. The packet lists detector names, counts, and a few example paths, but it does not provide concrete excerpts from a representative file or enough surrounding text to tell whether the examples are real risks, benign documentation, or detector overfires. The replication math is also odd in places, which further weakens confidence that the category-root record cleanly represents one supported issue instance. Because the evidence is summary-level and heterogeneous, I cannot confidently call it TP or FP from the packet alone.","What almost clears it is that some listed example paths plausibly contain the named pattern, but the packet stops short of showing enough concrete context to verify operational meaning.",A representative excerpt or full-file context from one or more exemplars tied directly to the canonical issue would likely resolve this.,Aggregate category-root record.
TPFPV1-0251,23,critical,category-root,category4_surface_mentions,,[collection-scale] Curl or wget piped to shell,materials/TPFPV1-0251/material-index.json,UNCERTAIN,low,high,reviewer3-codex,"The category-root record suggests replicated curl-pipe / remote-download execution patterns, but the packet does not provide enough artifact-specific context to verify a stable canonical instance.","This record is an aggregate claim about replicated curl-pipe / remote-download execution patterns across a cohort rather than a normal file-level artifact. The packet lists detector names, counts, and a few example paths, but it does not provide concrete excerpts from a representative file or enough surrounding text to tell whether the examples are real risks, benign documentation, or detector overfires. The replication math is also odd in places, which further weakens confidence that the category-root record cleanly represents one supported issue instance. Because the evidence is summary-level and heterogeneous, I cannot confidently call it TP or FP from the packet alone.","What almost clears it is that some listed example paths plausibly contain the named pattern, but the packet stops short of showing enough concrete context to verify operational meaning.",A representative excerpt or full-file context from one or more exemplars tied directly to the canonical issue would likely resolve this.,Aggregate category-root record.
TPFPV1-0088,24,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,Broad external-action surface without approval model,materials/TPFPV1-0088/material-index.json,FP,high,low,reviewer3-codex,"The matched action verbs appear in a high-level CLI/framework guide that mostly inventories Hermes capabilities, commands, and setup options, not in an unconstrained external-action workflow.","On full reading, this artifact is better understood as a high-level CLI/framework guide that mostly inventories Hermes capabilities, commands, and setup options. That means the detector is keying off capability words and examples rather than a real always-on instruction to perform broad external actions. In several places the file is either descriptive, scoped to setup/reference usage, or explicitly mediated by approval/permission language. I do not see evidence that invoking the artifact necessarily causes the agent to act on external systems without meaningful user mediation. The text is descriptive and product-documentation-like; it does not itself tell the agent to perform broad external actions automatically.",This would move toward TP if the file switched from descriptive/setup guidance to imperative instructions that automatically perform the remote action or bypass the stated approval checks.,"If there is hidden runtime wiring that auto-executes the described steps, that extra evidence would change the conclusion.",
TPFPV1-0116,25,high,repo-file,category4_surface_mentions,category4_surface_mentions/danielmiessler__Personal_AI_Infrastructure,Broad external-action surface without approval model,materials/TPFPV1-0116/material-index.json,TP,high,high,reviewer3-codex,The artifact operationally exposes Cloudflare deployment actions and associated pre-action network calls without a clear per-action approval step once the skill is in use.,"This file is not a mere mention of the capability; it lays out an operational workflow for Cloudflare deployment actions and associated pre-action network calls. The skill requires an immediate localhost curl notification on invocation and then provides imperative deployment commands for Workers and Pages. The surrounding text reads like agent instructions rather than a neutral warning or hypothetical example, so the action surface is materially present in the artifact. Because the action reaches external systems, accounts, or cloud services, the trust boundary expands in a way that matters for security review. The workflows are user-triggered, but the artifact still exposes real external write actions with no separate confirmation at execution time.","This would be weaker if the file required an explicit user confirmation immediately before each outbound action, or if it were clearly limited to descriptive/reference-only prose rather than execution guidance.",A stronger user-visible approval checkpoint before each external write or network side effect would have pushed this toward FP.,
TPFPV1-0258,26,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Curl or wget piped to shell,materials/TPFPV1-0258/material-index.json,TP,high,high,reviewer3-codex,"The artifact contains a literal curl-pipe-to-shell installation command in operational instructions, which is the exact dangerous surface the finding names.","The file includes a fetch-and-execute pattern as part of cloud penetration-testing prerequisites and setup guidance. That expands the trust boundary immediately by executing remote content from a URL in the shell, which is precisely the risky behavior this rule is meant to capture. Although the broader skill may be framed as authorized or defensive, that framing does not neutralize the specific remote download plus shell execution pattern. This is therefore a concrete risky surface in the artifact itself rather than a false syntactic match.",This would be weaker if the file only linked to installation docs or downloaded a file for later manual inspection instead of piping directly into a shell.,A manual-install or package-manager path without shell piping would likely clear the record.,
